股票,代码,市值,持股,可用,成本,现价,盈亏,盈亏比例,账户仓位口径,定位
标准券,标准券,382000.00,3820,0,0.000,100.000,0.00,0.000%,71.2%,标准券/低波动占位，计入券商仓位但不按股票波动处理
灿芯股份,688691,46372.00,400,0,115.377,115.930,221.34,0.480%,8.6%,科创半导体设计服务/晶圆代工链弹性仓
麦捷科技,300319,32593.00,1100,0,29.731,29.630,-110.73,-0.340%,6.1%,AI电感/消费电子磁性器件试错仓
大族激光,002008,30022.00,200,0,144.027,150.110,1216.61,4.220%,5.6%,激光设备/玻璃基板/光通信材料链弹性仓
纳微科技,688690,26063.10,591,391,44.242,44.100,-84.10,-0.320%,4.9%,科创材料弹性仓，部分可用
C惠科,001399,19090.00,500,0,35.111,38.180,1534.72,8.740%,3.6%,新股/面板与电子信息制造弹性仓
